City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,yellowknife,62.456,-114.3525,-15.71,60,100,8.23,CA,2023-04-01 15:47:55
1,vaini,-21.2,-175.2,25.09,94,20,2.57,TO,2023-04-01 15:47:55
2,lasa,46.6166,10.7002,13.72,71,99,1.86,IT,2023-04-01 15:47:56
3,punta arenas,-53.15,-70.9167,9.06,57,75,3.6,CL,2023-04-01 15:47:05
4,saint george,37.1041,-113.5841,9.13,52,0,2.06,US,2023-04-01 15:47:08
5,ribeira grande,38.5167,-28.7,18.22,88,75,5.81,PT,2023-04-01 15:47:57
6,georgetown,5.4112,100.3354,29.96,78,20,3.09,MY,2023-04-01 15:46:39
7,ushuaia,-54.8,-68.3,7.81,71,0,2.57,AR,2023-04-01 15:43:01
8,sao filipe,14.8961,-24.4956,26.61,60,0,3.6,CV,2023-04-01 15:47:58
9,butaritari,3.0707,172.7902,27.39,73,100,5.25,KI,2023-04-01 15:47:58
10,upernavik,72.7868,-56.1549,-27.6,95,57,5.44,GL,2023-04-01 15:47:58
11,nantucket,41.2835,-70.0995,11.06,98,100,9.77,US,2023-04-01 15:47:59
12,hermanus,-34.4187,19.2345,22.11,63,0,8.25,ZA,2023-04-01 15:47:59
13,albany,42.6001,-73.9662,14.89,92,100,1.79,US,2023-04-01 15:47:59
14,mataura,-46.1927,168.8643,13.04,92,73,2.44,NZ,2023-04-01 15:47:59
15,palora,-1.7,-77.9333,23.06,58,86,1.45,EC,2023-04-01 15:48:00
16,lagoa,39.05,-27.9833,16.12,88,100,10.1,PT,2023-04-01 15:48:00
17,hervey bay,-25.2986,152.8535,22.76,54,100,2.11,AU,2023-04-01 15:48:00
18,margate,51.3813,1.3862,11.06,86,100,4.47,GB,2023-04-01 15:48:00
19,arandas,20.7,-102.35,21.34,20,44,1.28,MX,2023-04-01 15:48:01
20,east london,-33.0153,27.9116,22.52,78,75,5.14,ZA,2023-04-01 15:48:01
21,sao gabriel da cachoeira,-0.1303,-67.0892,24.89,94,75,1.54,BR,2023-04-01 15:48:01
22,henties bay,-22.116,14.2845,18.28,74,4,4.18,NA,2023-04-01 15:48:02
23,umm lajj,25.0213,37.2685,22.31,51,6,7.21,SA,2023-04-01 15:48:03
24,vila velha,-20.3297,-40.2925,34.41,60,20,3.6,BR,2023-04-01 15:48:03
25,langenburg,49.2544,9.8458,9.32,87,100,9.26,DE,2023-04-01 15:48:03
26,mahebourg,-20.4081,57.7,27.16,74,20,3.09,MU,2023-04-01 15:48:04
27,qaanaaq,77.484,-69.3632,-22.51,72,6,1.71,GL,2023-04-01 15:48:04
28,rio gallegos,-51.6226,-69.2181,9.03,71,75,9.26,AR,2023-04-01 15:48:04
29,goundi,9.3627,17.366,39.07,17,61,2.18,TD,2023-04-01 15:48:04
30,cocorit,27.5833,-109.9667,14.19,12,14,2.4,MX,2023-04-01 15:48:05
31,ahipara,-35.1667,173.1667,17.83,93,100,1.43,NZ,2023-04-01 15:48:05
32,talnakh,69.4865,88.3972,-8.98,94,100,8.2,RU,2023-04-01 15:48:06
33,dongying,37.4564,118.4856,14.09,35,2,3.79,CN,2023-04-01 15:48:06
34,provideniya,64.3833,-173.3,-5.68,97,97,4.65,RU,2023-04-01 15:48:06
35,qena,26.1615,32.7183,24.18,12,0,1.85,EG,2023-04-01 15:48:06
36,avarua,-21.2078,-159.775,23.03,100,75,0.51,CK,2023-04-01 15:48:07
37,mount isa,-20.7333,139.5,24.87,38,75,4.12,AU,2023-04-01 15:48:07
38,bluff,-46.6,168.3333,13.22,87,43,8.87,NZ,2023-04-01 15:48:07
